precision,top eigenvalue,trace,batch_size,learning_rate,type
2,1.6637472674477294,4.119047729013028,512,0.0015625,0% pruning
3,1.7746239931213603,4.398394059504511,512,0.0015625,0% pruning
4,2.0957293325495012,4.7218683310835825,512,0.0015625,0% pruning
5,2.20929360091107,4.4477355542118175,512,0.0015625,0% pruning
6,2.487196580996583,4.84058111090544,512,0.0015625,0% pruning
7,2.6979159916485327,5.325390110550547,512,0.0015625,0% pruning
8,3.3223402939073305,5.785214508607289,512,0.0015625,0% pruning
9,3.7784527567616073,6.33166083635073,512,0.0015625,0% pruning
10,4.423387500152365,6.828422565768738,512,0.0015625,0% pruning
11,3.7180406881128776,6.179464344845954,512,0.0015625,0% pruning
2,2.1443271403015345,4.460954969478165,512,0.0015625,10% pruning
3,2.500018296680844,4.833112845925865,512,0.0015625,10% pruning
4,2.478893243797954,4.793602092940435,512,0.0015625,10% pruning
5,2.580612377031258,4.888266765438478,512,0.0015625,10% pruning
6,2.7449920201086044,5.313383496363098,512,0.0015625,10% pruning
7,2.604550843007861,5.173218999518093,512,0.0015625,10% pruning
8,3.57565971330148,6.146502865548416,512,0.0015625,10% pruning
9,3.6783278297150908,6.318833173219615,512,0.0015625,10% pruning
10,3.6619262071201124,6.289823633573875,512,0.0015625,10% pruning
11,4.654926907205533,7.304096393964549,512,0.0015625,10% pruning
2,2.299745828193613,4.630641504205193,512,0.0015625,25% pruning
3,2.3909452222959993,4.783265175934842,512,0.0015625,25% pruning
4,2.6314912843423377,4.956871640235796,512,0.0015625,25% pruning
5,2.732113429025133,5.074721943854607,512,0.0015625,25% pruning
6,2.3102603611930883,4.8803262206329565,512,0.0015625,25% pruning
7,2.7936559313047304,5.414208438803644,512,0.0015625,25% pruning
8,3.186046398547476,5.926048770028109,512,0.0015625,25% pruning
9,3.569971447199607,6.2760136272670195,512,0.0015625,25% pruning
10,3.851071891926088,6.325921694243764,512,0.0015625,25% pruning
11,4.603033273941025,7.1429129914295775,512,0.0015625,25% pruning
2,1.857187280635848,4.2821812353136535,512,0.0015625,50% pruning
3,2.319768409568732,4.8067299076539,512,0.0015625,50% pruning
4,2.552568301314252,4.909191295108607,512,0.0015625,50% pruning
5,2.7069005083884563,5.110613449033881,512,0.0015625,50% pruning
6,2.461621510616369,4.931154183170916,512,0.0015625,50% pruning
7,2.499058738240454,5.311068502352447,512,0.0015625,50% pruning
8,3.3213597618909363,6.041335339193965,512,0.0015625,50% pruning
9,2.6915493544902436,5.579194151971039,512,0.0015625,50% pruning
10,3.990136463680542,6.569119727521915,512,0.0015625,50% pruning
11,4.492759379875756,7.09548980060891,512,0.0015625,50% pruning
2,2.562370563636399,4.809908425282907,512,0.0015625,75% pruning
3,2.4834679762740075,4.929501449931813,512,0.0015625,75% pruning
4,2.5976148535522197,4.948437447487026,512,0.0015625,75% pruning
5,2.6518431288438142,5.148755943092944,512,0.0015625,75% pruning
6,2.4715998154733057,4.784653472408754,512,0.0015625,75% pruning
7,2.4777296994153213,5.016643298517387,512,0.0015625,75% pruning
8,3.0549992011939335,5.867103006618075,512,0.0015625,75% pruning
9,3.4694184873412346,6.340652222895475,512,0.0015625,75% pruning
10,3.7976396663350624,6.505484648461647,512,0.0015625,75% pruning
11,4.51066320982804,7.398328806910099,512,0.0015625,75% pruning
2,2.2192443874456234,4.560771029087835,512,0.0015625,90% pruning
3,2.8445447468645133,5.087364869575923,512,0.0015625,90% pruning
4,2.693974149710377,5.028466432485592,512,0.0015625,90% pruning
5,2.4902398667376477,4.7250495141790845,512,0.0015625,90% pruning
6,2.5132263815159943,4.96271986663287,512,0.0015625,90% pruning
7,2.758853863544938,5.35141618472026,512,0.0015625,90% pruning
8,2.791396636138141,5.449033510937621,512,0.0015625,90% pruning
9,3.327324854104884,5.882524448601529,512,0.0015625,90% pruning
10,3.958348295892873,6.65260824938563,512,0.0015625,90% pruning
11,,,512,0.0015625,90% pruning
