precision,emd,noise 5%,batch_size,learning_rate,type
2,3.0916452407836914,3.358797232309977,512,0.0015625,0% pruning
2,3.008962551752726,3.2626803716023765,512,0.0015625,10% pruning
2,3.0515902837117515,3.2794083754221597,512,0.0015625,25% pruning
2,3.0753401120503745,3.232097943623861,512,0.0015625,50% pruning
2,3.024041493733724,3.2478973865509033,512,0.0015625,75% pruning
2,3.260596990585327,3.7110098203023276,512,0.0015625,90% pruning
3,1.5807191928227742,2.4335294167200723,512,0.0015625,0% pruning
3,1.551195740699768,2.4174527327219644,512,0.0015625,10% pruning
3,1.5612766345342,2.434739073117574,512,0.0015625,25% pruning
3,1.5502403577168782,2.4557023843129477,512,0.0015625,50% pruning
3,1.539563814798991,2.391509731610616,512,0.0015625,75% pruning
3,1.5237921078999836,2.4545846382776895,512,0.0015625,90% pruning
4,1.7443809111913045,2.307533303896586,512,0.0015625,0% pruning
4,1.5064959526062012,2.358803391456604,512,0.0015625,10% pruning
4,1.4562139511108398,2.3629504442214966,512,0.0015625,25% pruning
4,1.3384458621342976,2.347675641377767,512,0.0015625,50% pruning
4,1.4020641644795735,2.4015978972117105,512,0.0015625,75% pruning
4,1.3067383368810017,2.3234073718388877,512,0.0015625,90% pruning
5,1.5137162605921428,2.3293514251708984,512,0.0015625,0% pruning
5,1.2908912897109985,2.2981936931610107,512,0.0015625,10% pruning
5,1.2521155675252278,2.3568801482518515,512,0.0015625,25% pruning
5,1.3247257868448894,2.4651182889938354,512,0.0015625,50% pruning
5,1.3439936240514119,2.5080281496047974,512,0.0015625,75% pruning
5,1.2817458709081013,2.4108087619145713,512,0.0015625,90% pruning
6,1.4926106135050456,2.369640032450358,512,0.0015625,0% pruning
6,1.4380910793940227,2.6995242834091187,512,0.0015625,10% pruning
6,1.3791413307189941,2.7080586751302085,512,0.0015625,25% pruning
6,1.3310357332229614,2.656966765721639,512,0.0015625,50% pruning
6,1.2952762047449748,2.4564508199691772,512,0.0015625,75% pruning
6,1.3764075835545857,2.4596693913141885,512,0.0015625,90% pruning
7,1.229868491490682,2.320436716079712,512,0.0015625,0% pruning
7,1.4547709226608276,2.545894424120585,512,0.0015625,10% pruning
7,1.337461034456889,2.569008191426595,512,0.0015625,25% pruning
7,1.3140666882197063,2.5822996695836387,512,0.0015625,50% pruning
7,1.2710455656051636,2.657067060470581,512,0.0015625,75% pruning
7,1.308024565378825,2.6130200624465942,512,0.0015625,90% pruning
8,1.3876736958821614,2.4624069134394326,512,0.0015625,0% pruning
8,1.5545781056086223,2.807625730832418,512,0.0015625,10% pruning
8,1.3607861995697021,2.7629501024881997,512,0.0015625,25% pruning
8,1.35205082098643,2.699868083000183,512,0.0015625,50% pruning
8,1.411828875541687,2.69744606812795,512,0.0015625,75% pruning
8,1.3877941966056824,2.8738420406977334,512,0.0015625,90% pruning
9,1.4557750622431438,2.496002515157064,512,0.0015625,0% pruning
9,1.5360890626907349,3.171459197998047,512,0.0015625,10% pruning
9,1.3239429394404094,2.7474557161331177,512,0.0015625,25% pruning
9,1.3966968059539795,2.939396937688192,512,0.0015625,50% pruning
9,1.365482211112976,3.0561010042826333,512,0.0015625,75% pruning
9,1.3008631467819214,3.085216442743937,512,0.0015625,90% pruning
10,1.50594429175059,2.6509152253468833,512,0.0015625,0% pruning
10,1.3253626823425293,2.935803453127543,512,0.0015625,10% pruning
10,1.2039248943328857,2.9973187843958535,512,0.0015625,25% pruning
10,1.1862033605575562,3.028312166531881,512,0.0015625,50% pruning
10,1.2039389212926228,3.2142136096954346,512,0.0015625,75% pruning
10,1.2685686349868774,3.1959838469823203,512,0.0015625,90% pruning
11,1.3571661313374836,2.8628564278284707,512,0.0015625,0% pruning
11,1.4246047337849934,3.377146561940511,512,0.0015625,10% pruning
11,1.3834566672643025,3.4135404427846274,512,0.0015625,25% pruning
11,1.3441080649693806,3.0869679848353067,512,0.0015625,50% pruning
11,1.2543410857518513,3.0275575717290244,512,0.0015625,75% pruning
11,1.2775603532791138,-1.0,512,0.0015625,90% pruning
